STU_ID,BYSEX,BYRACE,BYSTLANG,BYPARED,BYINCOME,BYURBAN,BYREGION,BYRISKFC,BYS34A,BYS34B,BYWRKHRS,BYS42,BYS43,BYTVVIGM,BYS46B,BYS44C,BYS20E,BYS87C,BYS20D,BYS23C,BYS37,BYS27I,BYS90D,BYS38A,BYS20J,BYS24C,BYS24D,BYS54I,BYS84D,BYS84I,BYS85A,F2HSSTAT,F2EVERDO,F1RGPP2
101101,0,4,1,5,5,1,1,2,1,2,6,0,1,-1,2,1,2,3,2,0,3,2,2,2,3,3,1,3,1,1,4,1,0,1
101102,0,2,0,5,6,1,1,0,1,1,0,1,1,2,3,3,3,2,2,1,4,1,2,2,3,2,1,2,1,1,4,1,0,2
101104,0,5,1,2,5,1,1,-1,-1,4,0,1,1,1,1,1,3,3,2,1,4,2,2,1,-1,2,1,2,1,1,4,1,0,2
101105,0,3,1,2,1,1,1,-1,1,2,0,3,1,-1,2,1,1,2,-1,1,4,1,3,1,-1,3,1,1,1,1,4,1,0,2
101106,0,4,0,1,2,1,1,2,2,1,3,0,1,2,2,1,3,2,2,1,4,1,3,4,3,2,1,3,1,1,4,1,0,2
101107,1,4,0,2,4,1,1,1,2,2,0,2,3,2,0,1,1,2,1,0,3,1,3,2,3,1,2,1,1,0,4,1,0,0
101108,1,4,1,6,5,1,1,-1,1,3,1,1,-1,1,2,4,2,3,2,0,2,1,3,3,3,1,2,1,1,1,2,1,0,1
101109,1,5,1,2,5,1,1,1,1,2,0,4,0,2,3,1,2,3,2,1,4,1,2,2,3,1,1,3,1,0,4,1,0,3
101110,1,4,1,2,3,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,3,3,2,1,4,2,3,4,2,2,2,2,1,1,4,1,0,1
101111,1,3,1,1,1,1,1,-1,2,4,0,1,1,2,2,1,1,3,2,1,4,1,3,1,2,3,1,3,1,1,4,1,0,0
101112,1,3,1,6,3,1,1,1,1,1,0,4,0,4,3,1,1,3,2,1,3,2,2,2,3,1,1,2,1,1,2,1,0,2
101113,0,4,0,4,3,1,1,1,1,1,0,3,1,1,2,3,2,2,2,0,4,2,3,1,3,1,1,3,1,1,4,1,0,1
101114,0,3,1,4,2,1,1,3,1,1,6,1,0,2,1,1,3,3,1,1,3,1,2,1,4,4,2,3,1,1,2,1,0,1
101115,1,2,1,2,3,1,1,0,2,1,0,1,1,4,2,3,1,2,2,0,4,2,3,1,4,1,1,2,1,1,3,1,0,1
101116,1,2,1,7,7,1,1,-1,1,1,0,3,0,1,1,1,3,4,1,1,4,1,2,4,3,1,2,1,1,1,4,1,0,2
101117,1,3,1,2,5,1,1,2,0,1,2,0,0,-1,0,-1,2,3,2,0,3,2,3,2,3,1,2,2,0,1,-1,1,0,0
101118,0,3,1,7,3,1,1,3,0,1,0,0,0,-1,1,1,2,3,2,0,3,1,3,1,2,3,3,1,1,1,2,1,0,1
101119,0,4,0,1,2,1,1,-1,1,1,0,0,0,-1,1,1,1,4,-1,0,3,1,2,1,3,2,2,3,1,1,2,0,0,1
101120,1,5,1,2,3,1,1,2,0,0,0,0,1,4,0,1,3,4,2,0,2,2,2,3,2,4,2,3,0,0,2,0,1,0
101121,0,2,0,7,6,1,1,0,1,1,0,1,1,1,1,1,2,2,3,1,4,1,3,-1,4,3,1,2,1,1,3,1,0,1
101122,1,4,0,3,1,1,1,2,1,0,0,0,0,4,1,1,4,4,3,0,2,3,2,4,2,5,2,2,1,0,1,1,0,1
101123,1,4,0,5,2,1,1,4,1,2,0,0,0,-1,1,1,2,3,1,0,2,2,2,3,3,1,2,2,1,0,1,1,0,1
101124,1,4,1,2,3,1,1,1,2,1,6,0,0,0,3,1,3,2,1,0,3,1,3,1,3,3,5,1,0,1,2,1,0,0
101125,0,4,0,2,2,1,1,3,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,2,0,1,4,1,0,0
101126,0,2,0,1,3,1,1,2,1,1,0,1,1,3,2,1,2,2,2,1,3,3,-1,2,3,1,1,2,1,1,1,1,0,2
101127,0,2,0,6,5,1,1,0,1,6,1,2,1,0,1,3,2,3,3,1,4,1,3,1,3,3,2,1,1,1,4,1,0,2
101128,1,2,0,1,3,1,1,-1,1,3,-1,-1,2,1,2,1,-1,2,2,1,4,3,1,1,2,1,1,2,1,1,3,1,0,1
101129,1,5,1,4,6,1,1,-1,1,1,0,0,2,3,2,1,2,4,3,1,3,1,3,2,3,2,2,1,1,1,3,1,0,2
101131,1,5,1,4,4,1,1,0,1,3,1,0,0,1,2,1,4,4,3,1,4,1,2,1,3,2,1,3,1,1,2,1,0,2
101132,1,4,1,2,5,1,1,1,0,1,0,1,1,4,1,1,2,4,1,0,4,1,3,2,3,1,2,2,1,1,2,1,0,1
101133,1,4,1,2,1,1,1,4,0,1,0,0,0,-1,2,1,2,4,2,0,3,1,1,2,2,5,2,3,1,1,2,1,0,1
101201,1,5,0,4,6,1,1,0,1,1,0,0,1,2,2,1,1,-1,3,0,2,1,-1,1,3,1,2,1,-1,-1,-1,1,0,2
101203,1,5,1,6,3,1,1,1,0,1,0,0,1,1,2,1,2,-1,2,0,3,1,-1,2,3,2,2,1,-1,-1,-1,1,0,1
101207,1,5,1,2,3,1,1,0,1,1,4,3,1,4,3,1,2,-1,1,0,3,1,-1,4,3,1,3,3,-1,-1,-1,1,0,2
