/**************************************************************************
 *** Layout File                                                        ***
 ***                                                                    ***
 *** This file is designed to provide the necessary information so      ***
 *** that NCES survey response data may be used in other statistical    ***
 *** software packages. This file provides variable names, locations,   ***
 *** and short descriptions for all selected variables. Additionally,   ***
 *** for categorical variables, this file also contains the response    ***
 *** codes and value label descriptions.                                ***
 ***                                                                    ***
 *** Full sample weights, replicate weights, and identification         ***
 *** numbers are added automatically to the list of variables selected  ***
 *** by the EDAT and are included here.                                 ***
 *************************************************************************/

/* ASCII Dataset File Name */
els_02_12_byf1sch

/* Total Record Length */
3561

/* Variable Names, Locations, and Descriptions */
SCH_ID         73-76         School ID
STRAT_ID       77-79         Stratum
PSU            80-81         Primary sampling unit
BYSCH1         1562-1571     BRR school weight for replicate 1
BYSCH2         1572-1581     BRR school weight for replicate 2
BYSCHWT        82-91         School weight
BYADMSTA       92-93         Base year administrator questionnaire status
BYSCH3         1582-1591     BRR school weight for replicate 3
BYSCH4         1592-1601     BRR school weight for replicate 4
BYSCH5         1602-1611     BRR school weight for replicate 5
BYSCMDFG       94-95         Base year library media center questionnaire flag
BYSCH6         1612-1621     BRR school weight for replicate 6
BYSCH7         1622-1631     BRR school weight for replicate 7
BYG10EP        96-97         Grade 10 enrollment-2001/02 school roster-categorical
BYSCENP        98-99         Oct 2001 total school enrollment-administrator quex-categorical
BYSCH8         1632-1641     BRR school weight for replicate 8
BYSCH9         1642-1651     BRR school weight for replicate 9
BYSCTRL        100-101       School control
BYURBAN        102-103       School urbanicity
BYSCH10        1652-1661     BRR school weight for replicate 10
BYSCH11        1662-1671     BRR school weight for replicate 11
BYREGION       104-105       Geographic region of school
BYSPANP        106-107       Grade span-administrator questionnaire
BYSCH12        1672-1681     BRR school weight for replicate 12
BYSCH13        1682-1691     BRR school weight for replicate 13
BY10FLP        108-109       Grade 10 percent free lunch-categorical
BYFTTP         110-111       Number of full-time teachers categorical
BYSCH14        1692-1701     BRR school weight for replicate 14
BYSCH15        1702-1711     BRR school weight for replicate 15
BYSCH16        1712-1721     BRR school weight for replicate 16
BYSCH17        1722-1731     BRR school weight for replicate 17
BYSCH18        1732-1741     BRR school weight for replicate 18
BYSCH19        1742-1751     BRR school weight for replicate 19
F1ADMSTA       112-113       F1 administrator questionnaire status
F1SCENP        114-115       Oct 2003 total school enrollment-administrator quex-categorical
BYSCH20        1752-1761     BRR school weight for replicate 20
BYSCH21        1762-1771     BRR school weight for replicate 21
F1SCFLP        116-117       F1 School percent free lunch-categorical
F1FTTP         118-119       F1 Number of full-time teachers categorical
BYSCH22        1772-1781     BRR school weight for replicate 22
BYSCH23        1782-1791     BRR school weight for replicate 23
BYSCH24        1792-1801     BRR school weight for replicate 24
BYSCH25        1802-1811     BRR school weight for replicate 25
BYSCH26        1812-1821     BRR school weight for replicate 26
BYSCH27        1822-1831     BRR school weight for replicate 27
BYSCH28        1832-1841     BRR school weight for replicate 28
BYSCH29        1842-1851     BRR school weight for replicate 29
BYSCH30        1852-1861     BRR school weight for replicate 30
BYSCH31        1862-1871     BRR school weight for replicate 31
BYSCH32        1872-1881     BRR school weight for replicate 32
BYSCH33        1882-1891     BRR school weight for replicate 33
BYSCH34        1892-1901     BRR school weight for replicate 34
BYSCH35        1902-1911     BRR school weight for replicate 35
BYSCH36        1912-1921     BRR school weight for replicate 36
BYSCH37        1922-1931     BRR school weight for replicate 37
BYSCH38        1932-1941     BRR school weight for replicate 38
BYSCH39        1942-1951     BRR school weight for replicate 39
BYSCH40        1952-1961     BRR school weight for replicate 40
BYSCH41        1962-1971     BRR school weight for replicate 41
BYSCH42        1972-1981     BRR school weight for replicate 42
BYSCH43        1982-1991     BRR school weight for replicate 43
BYSCH44        1992-2001     BRR school weight for replicate 44
BYSCH45        2002-2011     BRR school weight for replicate 45
BYSCH46        2012-2021     BRR school weight for replicate 46
BYSCH47        2022-2031     BRR school weight for replicate 47
BYSCH48        2032-2041     BRR school weight for replicate 48
BYSCH49        2042-2051     BRR school weight for replicate 49
BYSCH50        2052-2061     BRR school weight for replicate 50
BYSCH51        2062-2071     BRR school weight for replicate 51
BYSCH52        2072-2081     BRR school weight for replicate 52
BYSCH53        2082-2091     BRR school weight for replicate 53
BYSCH54        2092-2101     BRR school weight for replicate 54
