"Stu_ID","F3IIPED","F3ISTATE","F3ILEVEL","F3ICNTRL","F3ISECTR","F3ISELC","F3IOPNAP","F3ISATV25","F3ISATV75","F3ISATM25","F3ISATM75","F3IACTE25","F3IACTE75","F3IACTM25","F3IACTM75","F3IACTC25","F3IACTC75","F3IHBCU","F3ISTDATE","F3IFIRSTINST","F3ILASTINST","F3ICREDNUM","F3ICREDTYPE_1","F3ICREDDATE_1","F3ICREDFIELD_1","F3ICREDGEN_1","F3ICREDSPEC_1","F3ICREDDBLMAJ_1","F3ICREDFIELD2_1","F3ICREDGEN2_1","F3ICREDSPEC2_1","F3ICREDTYPE_2","F3ICREDDATE_2","F3ICREDFIELD_2","F3ICREDGEN_2","F3ICREDSPEC_2","F3ICREDDBLMAJ_2","F3ICREDFIELD2_2","F3ICREDGEN2_2","F3ICREDSPEC2_2"
101101,-5,-5,2,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2005,1,0,0,-3,-3,"-5","-3","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101101,-5,-5,1,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2010,0,0,0,-3,-3,"-5","-3","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101101,-5,-5,1,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2010,0,1,0,-3,-3,"-5","-3","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101102,-5,-5,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2004,1,0,0,-3,-3,"-5","-3","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101102,-5,-5,1,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2006,0,0,0,-3,-3,"-5","-3","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101102,-5,-5,1,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2007,0,1,1,7,2011,"-5","51","-5",0,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101104,-5,-5,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2004,1,1,1,3,2008,"-5","50","-5",0,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101105,-5,-5,2,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2005,1,1,0,-3,-3,"-5","-3","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101105,-5,-5,2,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2009,0,0,0,-3,-3,"-5","-3","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101105,-5,-5,3,3,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-9,0,0,1,1,2009,"-5","51","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101106,-5,-5,2,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2004,1,1,0,-3,-3,"-5","-3","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101106,-5,-5,3,3,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2007,0,0,1,1,2008,"-5","51","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101107,-5,-5,3,3,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2006,1,1,0,-3,-3,"-5","-3","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101108,-5,-5,2,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2004,1,1,1,1,2007,"-5","47","-5",-3,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
101109,-5,-5,1,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2004,1,1,1,3,2009,"-5","52","-5",0,"-5","-5","-5",-5,-5,"-5","-5","-5",-5,"-5","-5","-5"
