INCODE,F4SECT,TUITFEES,TOTATTND
1,1,9,8
2,6,2,9
3,5,10,7
4,6,7,9
6,6,7,10
7,5,0,6
8,1,0,8
9,5,9,8
10,2,0,8
11,6,7,8
12,4,3,10
13,1,0,5
14,6,3,10
15,5,9,8
16,4,1,10
17,1,6,6
18,6,5,10
19,1,0,8
20,1,0,2
21,5,10,9
22,5,10,10
23,6,5,10
24,5,10,9
25,6,4,10
26,5,8,7
27,5,9,10
28,4,4,10
30,6,6,10
31,4,3,10
32,4,1,10
33,1,6,5
34,6,5,9
36,5,9,9
37,4,3,10
38,5,10,8
39,4,1,10
40,6,6,10
41,6,6,9
42,4,4,9
43,5,5,9
44,6,6,10
45,5,10,9
46,1,0,5
47,4,1,10
48,4,2,10
49,6,3,10
51,2,8,7
52,6,3,10
53,1,9,9
54,4,4,10
55,4,3,9
56,4,3,10
57,4,3,9
58,4,0,10
59,4,0,0
60,5,0,1
61,2,8,8
62,6,7,10
63,5,10,9
64,4,1,10
65,5,9,9
67,1,0,7
68,5,9,8
69,1,0,6
70,4,3,9
71,1,0,6
72,5,10,9
73,4,3,9
74,6,1,9
75,4,3,10
76,4,2,10
77,4,0,10
78,4,2,9
79,4,1,10
80,5,9,9
82,4,2,10
83,6,5,10
84,5,10,10
85,4,2,10
86,5,10,8
87,4,3,10
88,4,2,9
89,5,10,8
90,4,5,10
91,1,9,8
93,4,3,10
94,1,0,6
95,6,5,9
96,5,10,8
97,5,10,10
98,4,1,10
99,4,2,8
100,5,9,7
102,5,10,9
103,5,10,8
104,6,6,9
105,5,9,9
106,2,9,5
107,4,4,10
108,1,0,7
109,6,6,10
110,4,3,10
111,4,3,8
112,5,10,9
113,4,1,10
114,4,1,9
115,4,3,10
117,4,1,9
118,6,4,9
119,4,3,10
120,4,3,10
122,5,10,9
123,1,0,7
124,5,9,9
125,4,5,10
126,1,9,9
127,6,2,10
129,4,1,7
130,4,6,10
131,6,5,9
133,5,10,9
135,5,6,8
136,4,0,10
137,1,8,6
138,1,0,4
139,5,8,8
140,1,7,7
141,4,3,10
142,6,7,10
143,4,1,10
145,5,10,9
146,6,5,10
147,1,0,8
148,5,9,9
149,4,3,10
150,5,10,10
151,6,5,10
152,5,10,9
153,6,5,10
154,5,10,9
155,6,6,9
156,1,9,8
157,6,6,10
159,1,10,8
160,5,7,8
161,6,7,10
162,5,9,9
163,6,3,9
164,3,7,3
165,4,4,9
166,6,4,10
167,6,5,9
168,6,4,10
169,5,10,9
170,4,1,10
171,5,10,10
172,5,10,8
173,4,2,10
174,3,1,10
175,4,2,10
176,6,6,9
177,5,10,10
178,5,10,9
179,5,10,8
180,5,10,10
181,4,4,10
182,5,10,7
183,4,6,10
184,5,9,8
185,6,3,9
186,6,6,10
187,1,0,8
188,5,8,8
189,4,5,9
191,5,7,7
192,4,4,10
193,1,0,3
194,4,3,9
195,4,2,9
196,6,3,10
197,5,9,8
198,4,1,10
199,5,6,9
200,5,10,9
201,4,2,10
202,4,5,10
203,5,9,7
204,4,3,9
205,4,2,9
206,6,4,10
207,5,8,6
209,1,7,5
210,4,2,10
211,4,1,9
212,4,1,10
213,4,2,9
214,5,8,9
215,6,7,10
216,5,8,8
217,4,1,10
218,5,9,7
219,6,6,10
221,1,0,5
222,6,6,10
224,1,0,3
225,5,7,7
226,4,3,10
227,4,1,10
228,5,9,8
229,5,9,7
230,4,1,10
231,5,10,8
232,4,5,10
233,4,2,9
234,5,10,9
235,5,8,8
236,6,7,8
237,1,0,6
238,6,4,10
239,1,0,8
240,5,9,8
241,4,4,9
242,4,1,10
243,1,0,3
244,6,0,1
245,4,2,9
246,5,10,9
247,6,6,10
248,4,2,8
249,5,8,9
250,5,10,9
251,1,5,7
252,4,3,10
253,5,8,8
255,4,0,0
256,6,5,10
257,4,1,10
258,6,6,10
259,5,8,8
260,6,6,9
261,4,8,6
262,5,7,3
263,5,7,10
264,6,2,10
265,1,6,6
266,2,10,9
267,5,10,8
268,4,1,8
269,5,10,8
270,5,9,9
271,5,9,9
272,1,0,7
273,4,3,9
275,5,6,9
276,1,7,7
278,5,9,9
279,4,4,10
281,5,10,10
282,4,1,10
283,5,10,8
284,5,8,8
285,4,2,10
286,6,7,9
287,6,2,10
288,2,0,5
289,6,6,10
290,4,0,10
291,1,0,7
292,5,5,10
293,3,3,9
294,5,9,9
295,1,0,5
296,5,8,9
298,1,6,7
299,4,4,10
300,1,5,5
301,4,2,9
302,5,10,10
303,6,5,10
304,4,2,10
305,4,4,9
306,4,5,10
307,4,3,9
308,5,9,8
309,6,3,10
310,4,1,10
311,5,9,10
312,5,10,8
313,4,2,9
314,6,3,10
315,5,9,7
316,5,7,7
317,4,3,9
318,3,1,4
319,4,1,10
320,5,8,8
321,6,6,10
322,5,9,8
323,5,9,9
325,6,4,10
326,5,9,7
327,5,7,9
328,5,9,8
329,5,8,9
330,6,5,10
331,5,9,9
332,5,9,8
333,4,4,9
334,6,4,10
335,5,9,9
336,5,8,10
337,4,1,10
338,6,3,10
339,4,5,10
340,4,2,9
341,5,7,10
342,6,5,10
343,1,10,7
344,1,0,7
345,1,9,10
346,5,9,9
347,5,9,9
348,5,10,9
349,6,5,10
350,4,3,8
351,5,8,9
352,4,2,10
353,1,0,7
354,1,0,7
355,6,4,10
356,5,10,8
357,4,2,10
358,5,9,8
359,5,10,9
360,4,2,9
361,4,0,10
362,4,6,9
363,5,10,8
364,5,7,5
365,6,4,10
366,1,5,4
367,4,2,10
368,1,0,3
369,4,2,10
370,6,6,10
371,2,10,5
372,4,3,9
373,6,4,9
374,4,5,8
375,4,1,10
376,4,4,9
377,5,10,8
378,6,5,9
379,5,9,8
380,5,10,8
381,4,1,10
382,5,9,9
383,4,1,10
384,5,10,9
385,4,1,9
386,6,7,8
387,4,5,9
388,6,4,9
390,4,4,10
391,6,5,10
392,6,6,10
393,1,7,8
394,4,3,10
395,1,9,7
396,5,10,9
397,4,5,10
400,5,5,9
401,1,8,9
402,4,3,10
404,4,0,10
405,1,8,5
407,1,0,6
408,5,10,9
409,4,2,8
411,4,4,10
412,1,9,8
413,4,3,9
414,2,3,3
415,5,10,8
416,6,5,10
418,4,1,10
420,5,10,8
421,4,4,7
422,1,0,7
423,4,4,10
424,4,4,10
425,2,7,7
426,5,8,8
429,2,8,5
430,6,6,9
431,2,0,4
432,4,1,10
433,4,1,10
434,5,10,9
435,5,9,9
436,4,2,9
437,4,3,8
438,5,8,4
439,4,2,10
440,4,0,10
441,4,1,10
442,5,10,8
443,6,6,9
444,6,5,10
445,5,10,9
446,6,5,10
448,6,6,10
449,4,3,7
450,6,6,10
451,1,0,7
452,5,9,7
453,4,4,9
454,1,0,6
455,1,0,7
456,4,2,9
457,4,2,9
458,6,4,10
460,6,5,9
461,4,2,7
462,5,10,8
463,6,6,9
464,2,4,6
465,2,0,6
466,2,10,9
467,4,1,10
468,4,1,7
469,6,7,10
470,1,7,7
471,5,10,9
472,6,3,10
473,4,3,9
474,5,10,9
475,6,7,10
476,5,7,8
477,5,9,8
478,5,8,9
479,6,5,10
480,6,5,7
481,3,1,8
482,5,10,8
483,6,5,9
484,4,2,9
486,5,10,10
487,5,10,8
488,6,4,10
490,4,2,9
491,6,6,10
492,6,7,10
493,4,4,9
494,5,8,9
495,4,4,10
496,5,9,9
497,5,9,8
498,4,2,8
499,4,3,10
500,2,9,9
501,5,9,9
502,5,8,8
503,4,1,10
504,6,3,10
505,5,9,9
506,5,0,9
507,5,9,9
509,4,1,10
510,4,2,10
511,5,10,9
512,4,4,10
513,6,7,10
514,4,2,9
515,5,7,9
516,5,10,8
518,6,6,10
519,5,9,9
520,5,10,8
521,5,9,9
522,4,0,6
523,6,7,10
524,5,7,7
525,1,6,7
526,4,2,9
527,4,3,9
529,6,6,9
530,5,8,9
531,4,4,10
532,1,9,9
533,1,0,3
534,4,2,10
535,4,2,10
536,4,2,10
537,4,3,9
538,6,6,10
539,5,10,9
541,6,1,9
542,1,8,8
543,6,6,9
544,6,4,9
545,6,6,10
546,1,0,6
548,6,5,10
549,6,4,9
551,5,10,8
552,1,8,8
553,5,9,7
554,6,5,10
555,1,0,6
556,6,3,10
557,5,10,9
558,5,10,7
559,5,1,1
561,1,0,4
562,6,4,9
563,1,0,7
564,5,0,1
565,5,10,9
566,4,2,9
567,5,8,9
568,5,10,8
569,1,0,3
570,6,4,9
571,5,10,9
572,4,4,10
573,4,1,10
574,4,0,10
575,4,3,9
576,4,6,9
577,5,7,5
578,5,9,9
579,4,2,10
580,4,2,9
581,5,0,1
582,4,0,10
583,4,3,10
584,5,6,8
585,4,2,10
