STU_ID,INCODE,INSTNUM,TYPETUIT,NUMATND,ENRLSTAT,MAJCODE,MAJVERB,MAJSRCH,HRSWEKLY,TYPDEGCT,DATRCVMO,DATRCVYR,JOBCHNG,GRANTS,LOANS,WORKSTDY,OTH_FINA,NO_FINA,AMT_FINA,CAMPJOB,EDRELJOB,PARNBORW,F3PSEAT,F3PSEEN,F3PSECT,F3SEC2A,STRTMON1,STRTYR1,ENDMON1,ENDYR1,STRTMON2,STRTYR2,ENDMON2,ENDYR2,STRTMON3,STRTYR3,ENDMON3,ENDYR3,STRTMON4,STRTYR4,ENDMON4,ENDYR4
4565459,1172,1,1,1,3,185,NURSING PEDIATRIC,NURSING @PEDIATRIC,-9,3,0,0,-9,1,2,2,2,2,1000,2,2,2,25,25,1,4,8,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4521674,2044,1,1,1,3,900,NO MAJOR,NO MAJOR,-9,1,0,0,-9,2,2,2,2,1,-9,2,2,2,6,6,1,4,1,92,6,92,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4521674,-10,2,-9,1,1,111,CERTIFICATE IN TYPING,CERTIFICATION ILLUSTRATION TECHNOLOGY,-9,2,0,0,-9,2,2,2,2,1,-9,2,2,2,6,6,1,-6,1,93,6,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
867279,650,1,-9,1,1,188,PHAEMACEY,PHARMACY,-9,4,0,0,-9,1,1,2,2,2,-8,1,1,1,24,24,1,5,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4553109,1623,1,-9,1,1,470,AIRFRAME AND POWER PLANT,AIRCRAFT PRELAW PLANT,40,5,0,0,-9,2,1,2,2,2,6000,2,2,2,11,11,1,1,8,92,6,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7813121,2205,1,1,1,1,71,AGRICULTURAL BUSINESS MANAGEMENT,AGRIBUSINESS BUSINESS MANAGEMENT,20,3,0,0,-9,1,2,2,2,2,-8,1,1,2,27,27,1,4,6,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7217996,1682,1,-8,1,1,91,COMMUNICATIONS AND MEDIA ART,COMMUNICATION MEDIA ART,-8,3,0,0,-9,2,2,2,2,1,-9,2,2,-8,5,5,1,4,1,93,5,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2520867,91,1,-9,1,1,480,COMMERCIAL ARTS,COMMERCIAL ART,20,3,0,0,-9,1,1,2,2,2,7000,2,1,2,24,24,1,1,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
791484,293,1,1,1,1,471,POWER EQIPMENT MECHANICS,@POWER @EQIPMENT MECHANIC,30,5,0,0,-9,2,2,2,2,1,-9,1,2,2,37,37,1,3,8,91,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7255741,1851,1,1,1,1,430,CRIMINAL JUSTICE,CRIMINAL JUSTICE,-9,3,0,0,-9,2,2,2,2,1,-9,2,2,2,24,24,1,4,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4522747,-10,1,-9,1,1,150,ELECTRONIC ENGINEERING,ELECTRONIC ENGINEER,-9,3,0,0,-9,2,2,2,2,1,-9,2,2,2,4,4,1,-6,4,93,7,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
6851923,507,1,-9,1,1,60,ACCOUNTING,ACCOUNTING,-9,4,0,0,-9,1,1,2,2,2,2000,2,2,1,24,24,1,5,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7297380,726,1,1,1,2,430,CRIMINAL JUSTICE,CRIMINAL JUSTICE,10,2,0,0,-9,2,2,2,2,1,-9,2,2,1,3,3,1,4,6,91,8,91,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
734015,2226,1,1,1,1,470,AUTO MECHANIC,AUTO MECHANIC,30,2,0,0,-9,1,1,2,2,2,-8,2,2,2,7,7,1,4,9,92,3,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7213390,1420,1,1,1,2,240,LIBERAL ARTS,LIBERAL ART,-9,3,0,0,-9,2,2,1,2,2,360,2,1,2,24,24,1,4,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
