STU_ID,INCODE,F4SECT,PSE94FLG
124902,2320,4,1
124915,1703,6,0
124915,2682,4,0
124916,1703,6,0
124916,2320,4,1
124916,2324,5,0
124932,2320,4,1
124944,2202,5,1
124944,2320,4,1
124944,2324,5,1
124947,1703,6,1
124958,992,4,1
124966,1216,6,1
124968,1190,6,1
124970,303,6,0
124970,1082,5,0
124970,2320,4,1
124972,2320,4,1
124974,1334,4,0
124983,2324,5,1
124985,750,5,1
124990,750,5,0
124990,1755,6,1
124990,2289,6,1
124993,750,5,0
124993,2320,4,0
175551,2101,4,0
175551,3244,1,0
175560,172,5,1
175560,2380,4,0
175585,906,5,0
175585,2101,4,1
180607,62,6,1
180607,1611,5,1
180608,62,6,1
180608,1004,5,0
180610,1077,5,1
180610,2524,6,0
180611,625,1,1
180611,804,4,0
180611,1895,4,0
180611,3261,4,0
180625,1004,5,0
180625,2144,5,1
180647,62,6,1
180647,2516,6,0
180657,1279,6,0
180657,1895,4,1
180665,2481,5,1
180665,3185,1,0
180667,1611,5,1
180667,1895,4,0
180672,1895,4,0
180673,1611,5,1
180673,2144,5,1
180675,663,5,1
180675,1748,6,0
180675,3110,1,0
180676,1895,4,0
180681,1004,5,1
180681,1077,5,1
180682,1056,5,1
180682,3253,4,0
180686,1279,6,1
180686,1611,5,0
180690,281,5,0
180690,1007,5,1
184619,2380,4,1
184626,2289,6,1
184670,2380,4,1
184674,386,6,0
184674,2078,2,1
184690,168,6,0
184690,1149,6,0
211432,999997,-1,0
211432,999997,-1,0
211450,262,5,1
211450,311,5,0
211486,1685,5,1
211486,3036,5,0
211499,311,5,1
211499,3441,5,0
232150,819,5,1
232150,1432,5,0
232157,819,5,1
232179,2143,5,0
232196,518,6,1
232196,1685,5,1
232196,3385,5,0
233536,679,6,1
233536,907,6,0
233536,1908,5,0
233536,2143,5,0
266610,1025,4,1
266616,1025,4,1
266616,1188,6,0
266618,1025,4,1
266618,999998,-1,0
266619,1383,5,1
266619,3345,5,0
266637,234,5,1
266637,1025,4,0
266641,97,5,0
266641,1381,5,0
266646,1025,4,0
266647,1025,4,1
266652,1025,4,0
266652,2903,2,0
266658,1025,4,0
266658,2589,4,0
266670,594,6,1
266693,384,5,1
266698,3094,3,0
275902,1685,5,1
275931,311,5,0
275931,1685,5,1
275938,1685,5,1
275938,999996,6,0
275954,448,6,0
275954,1685,5,1
275959,448,6,1
275959,1007,5,0
275972,448,6,1
286100,311,5,1
286100,448,6,0
286100,1092,4,1
286101,448,6,1
286101,2075,5,0
286103,448,6,1
286103,877,5,0
286108,311,5,1
286114,2037,6,1
286124,1667,5,1
286128,1071,6,0
286128,1983,6,0
286128,2068,4,1
286132,1498,6,1
286132,1705,4,1
286134,311,5,1
286134,448,6,1
286141,311,5,1
286169,448,6,1
286171,448,6,1
286171,2068,4,1
286171,3123,6,0
286176,311,5,1
286177,999996,-1,0
286189,746,6,1
286190,311,5,1
286190,1983,6,0
286191,1685,5,1
286191,3385,5,0
288805,1983,6,1
288811,1685,5,0
288811,1983,6,1
288822,1983,6,1
288822,3455,6,0
288826,1908,5,1
288828,311,5,1
288828,1498,6,1
288828,3195,1,0
288837,1983,6,1
288842,1908,5,1
288844,311,5,1
288845,1685,5,1
288845,3385,5,0
288846,1908,5,1
288846,1930,6,1
288853,1685,5,1
288853,1908,5,0
288853,2143,5,1
288856,7,5,1
288856,311,5,1
288856,2143,5,0
288859,686,6,0
288859,1983,6,1
288871,448,6,0
288871,650,5,0
288871,1983,6,1
288879,1983,6,1
288879,3123,6,0
288880,1983,6,1
288883,1092,4,1
288885,3567,1,0
298819,450,6,1
298845,27,5,1
298845,1781,1,1
298845,2479,6,1
298850,2037,6,0
298850,2043,1,1
298850,3616,1,0
298866,1679,5,0
298866,2068,4,1
298886,782,5,0
298886,1908,5,1
298893,3616,1,0
298898,196,6,0
298898,382,5,1
298898,686,6,0
298898,1983,6,0
604414,80,5,1
604414,1978,6,1
604417,203,5,1
604418,203,5,1
604425,149,4,1
604425,795,1,0
604425,1726,5,0
604426,952,6,0
604426,1978,6,1
604443,80,5,1
604443,203,5,0
604443,1978,6,1
604457,1978,6,1
604467,883,5,1
604467,1978,6,0
604469,818,6,1
604474,872,5,1
604474,2327,5,1
604476,872,5,1
604476,3185,1,0
604479,149,4,1
604479,391,6,0
604479,3299,6,0
604486,80,5,1
604486,149,4,1
604497,149,4,1
605301,978,6,1
605302,977,5,1
605304,802,6,0
605304,2241,6,1
605312,356,5,1
605312,978,6,0
605324,2427,5,1
605325,339,4,1
605325,978,6,0
605325,1246,6,1
605327,1608,6,1
605327,1896,4,1
605328,210,4,1
605328,978,6,1
605333,493,4,1
605333,978,6,1
605333,1815,4,0
605334,407,1,0
605334,1444,5,0
605334,1608,6,1
605336,978,6,0
605336,1477,2,0
605336,1991,5,0
605336,2327,5,0
605342,469,6,0
605342,678,5,1
605343,978,6,0
605343,1386,6,1
605343,1477,2,1
605343,1952,5,0
605344,978,6,1
605353,978,6,1
605355,298,1,1
605355,339,4,0
605355,493,4,1
605355,1835,4,0
605356,978,6,1
605357,949,5,1
605360,1116,6,1
605364,944,6,1
605367,2274,5,1
605369,493,4,1
605369,978,6,1
605371,978,6,1
605371,1386,6,0
605376,949,5,1
605376,978,6,0
605377,1358,4,1
605384,702,6,0
605384,894,6,0
605384,1066,5,1
605387,493,4,1
605387,588,5,0
605388,978,6,0
605388,2327,5,1
605395,978,6,1
605395,3435,1,0
605398,2528,6,0
632704,186,6,1
632704,742,5,0
632704,2259,6,0
632709,83,6,0
632713,332,5,1
632713,3273,5,0
632770,120,4,0
632770,845,6,0
632770,3303,4,0
632790,742,5,1
632790,2259,6,1
637521,952,6,1
637529,707,6,1
642003,1518,2,1
642003,1571,4,1
642003,2020,4,0
642003,2138,5,1
642005,1246,6,0
642005,1459,5,0
642005,2503,6,1
642010,154,5,1
642010,2503,6,1
644215,581,5,1
644230,1405,4,1
644234,1405,4,1
644234,1540,5,0
644255,2625,4,0
644268,802,6,1
644268,944,6,0
644279,1115,6,1
646120,1179,4,1
651810,488,6,1
651810,1046,4,0
651833,88,4,1
651833,252,4,1
651833,488,6,0
651833,1234,6,0
651833,2727,5,0
651838,252,4,0
651838,488,6,0
651838,2227,5,1
651838,3315,5,0
651891,679,6,1
664103,393,1,1
664103,1445,4,1
664105,646,6,1
664105,894,6,0
664115,1433,5,1
664130,945,4,1
664133,1106,5,1
664133,1523,4,1
664136,1246,6,1
664147,1246,6,1
664147,999996,5,0
664158,2379,5,1
664162,326,5,1
664178,263,5,1
664182,1173,4,1
664182,3132,2,0
664186,1292,6,0
664186,2200,5,1
664196,142,6,0
664196,1329,5,1
665696,299,4,1
665696,2452,4,1
673838,2165,4,1
673841,742,5,1
673894,1148,6,1
673894,2165,4,0
673894,2709,4,0
700005,226,4,1
700005,2248,6,0
700011,578,5,1
700033,75,4,1
700035,75,4,1
700035,2248,6,1
700050,1952,5,1
700050,2248,6,0
700050,2272,4,0
700055,999997,4,0
700077,75,4,1
700077,2352,4,0
700085,578,5,0
700085,3418,4,0
700097,75,4,0
700097,2248,6,1
700097,3255,1,0
701118,107,4,1
701118,1475,4,0
701120,530,5,1
701131,3012,1,0
701148,107,4,1
701148,1386,6,1
701163,107,4,1
701178,1386,6,0
701189,314,6,0
701189,1386,6,1
701189,2236,6,1
701203,2265,5,1
701208,1221,5,1
701208,1365,4,0
701211,392,6,1
701211,1234,6,0
701237,646,6,0
701237,1234,6,1
701237,1365,4,1
701238,1365,4,1
701239,1293,4,1
701239,1365,4,0
701239,999997,2,0
701243,515,5,1
701243,1365,4,0
701247,349,6,1
701247,1102,1,1
701247,1365,4,1
701250,1365,4,0
701264,206,6,1
701264,1365,4,0
701283,1365,4,1
701610,1095,5,1
701610,2522,4,0
701610,999997,2,0
701610,999997,3,0
701612,24,5,0
701612,1638,6,1
701618,109,6,1
701618,1638,6,1
701618,2688,5,0
